Country,Continent,PWT Code,WDI Code,pop75,pop09,gpop,k1975,k2009,kpw1975,kpw2009,hc1975,hc2009,rgdpwk1975,rgdpwk2009,rgdpch1960,rgdpch1965,rgdpch1970,rgdpch1975,rgdpch1980,rgdpch1985,rgdpch1990,rgdpch1995,rgdpch2000,rgdpch2005,rgdpch2006,rgdpch2007,rgdpch2008,rgdpch2009,gy7509,ki1975,ki2009,meanki,natsav09,grodomsav75,grodomsav09,govsp75,govsp09,privcap09,fdi09,imports75,imports09,trade75,trade09,openfrac,martax09,migration10,labfor75,labfor09,labpop75,labpop09,indgdp75,indgdp09,agrigdp75,agrigdp09,aggdpperagworker09,percemployagr10,natcap00,mindep09,endep09,fordep09,co2emm07,tfr75,tfr09,infmor09,malaria94,malariaecology,calories07,lifeex75,lifeex09,agedep75,agedep09,avgsch75,avgsch2010,collegeadultpop2010,compcollegeadultpop2010,avgyrsfemaleed,intuser09,tele09,cells09,comp05,gini09,topincsh09,botincsh09,ethnicfractionalization,rulelaw2009,corrcon09,polrights10,instability,obedience,perseverance,faith,trust,latitude,area
Afghanistan,2,AFG,AFG,14100000,25400000,1.73,14100000,46265779365,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,-8.63,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000,14100000
Albania,1,ALB,ALB,2401108,2983000,0.64,2401108,57696527627,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,16.53,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108,2401108
Algeria,3,DZA,DZA,16100000,34200000,2.22,16100000,7.31E+11,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,43.75,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000,16100000
Angola,3,AGO,AGO,5885455,12800000,2.29,5885455,1.01E+11,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,29.07,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455,5885455
Antigua and Barbuda,4,ATG,ATG,68041,85700,0.68,68041,4113528233,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,55.16,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041,68041
Argentina,4,ARG,ARG,26100000,40900000,1.32,26100000,1.11E+12,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26.23,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000,26100000
Armenia,2,ARM,ARM,2834136,2967000,0.13,2834136,28268011021,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,9.82,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136,2834136
Australia,5,AUS,AUS,13800000,21300000,1.28,13800000,2.46E+12,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,26.19,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000,13800000
Austria,1,AUT,AUT,7578903,8210000,0.24,7578903,8.93E+11,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,26.24,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903,7578903
Azerbaijan,2,AZE,AZE,5696117,8239000,1.09,5696117,91394736353,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,43.92,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117,5696117
